10/16 19:15:00.070|START       |NAME=エラーフォルダ存在確認 [file_operation_adapter/check_exist_file]
10/16 19:15:00.071|END         |
10/16 19:15:00.071|BRANCH_START|NAME=if6
--/-- --:--:--.---|EVALUATION  |NAME=エラーフォルダ無し, RESULT=true
10/16 19:15:00.071|START       |NAME=エラーフォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0502/ERROR/20241016191500_f00000mvvv000980e4t5n55ep556_error]ディレクトリを作成しました。
10/16 19:15:00.078|END         |
10/16 19:15:00.078|BRANCH_END  |
10/16 19:15:00.078|START       |NAME=変数格納1 
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダパス, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup
--/-- --:--:--.---|INFO        |バックアップフォルダパス(String) 入力=[/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup]
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0502/ERROR/20241016191500_f00000mvvv000980e4t5n55ep556_error
--/-- --:--:--.---|INFO        |エラーフォルダパス(String) 入力=[/data/MERGE/app/data/WE0502/ERROR/20241016191500_f00000mvvv000980e4t5n55ep556_error]
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダパス, VALUE=/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502
--/-- --:--:--.---|INFO        |処理フォルダパス(String) 入力=[/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502]
10/16 19:15:00.078|END         |
10/16 19:15:00.078|SCRIPT_END  |EXIT_STATUS=0
10/16 19:15:00.078|END         |
10/16 19:15:00.078|START       |NAME=各種一時Dir結果取得 
--/-- --:--:--.---|VARIABLE    |NAME=バックアップディレクトリ, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup
--/-- --:--:--.---|INFO        |バックアップディレクトリ(String) 入力=[/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup]
--/-- --:--:--.---|VARIABLE    |NAME=エラーディレクトリ, VALUE=/data/MERGE/app/data/WE0502/ERROR/20241016191500_f00000mvvv000980e4t5n55ep556_error
--/-- --:--:--.---|INFO        |エラーディレクトリ(String) 入力=[/data/MERGE/app/data/WE0502/ERROR/20241016191500_f00000mvvv000980e4t5n55ep556_error]
--/-- --:--:--.---|VARIABLE    |NAME=作業用ディレクトリ, VALUE=/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502
--/-- --:--:--.---|INFO        |作業用ディレクトリ(String) 入力=[/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502]
10/16 19:15:00.078|END         |
10/16 19:15:00.078|START       |NAME=取込処理実行 
10/16 19:15:00.079|SCRIPT_START|SCRIPT=sub/001_オーダー情報取込処理, PROJECT=【データ連携HUB】WE0502_オーダー情報取込(Biz-FLOW), REPOSITORY=/share/projects/【データ連携HUB】WE0502_オーダー情報取込(Biz-FLOW), VERSION=36
--/-- --:--:--.---|VARIABLE    |NAME=S3フォルダIN, VALUE=/WE0502
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0502
--/-- --:--:--.---|VARIABLE    |NAME=実行日時, VALUE=1729073700055
--/-- --:--:--.---|VARIABLE    |NAME=バックアップディレクトリ, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup
--/-- --:--:--.---|VARIABLE    |NAME=S3フォルダOUT, VALUE=/backup
--/-- --:--:--.---|VARIABLE    |NAME=機能名, VALUE=オーダー情報取込(Biz-FLOW)
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名称_フィルター1, VALUE=BF_orderstatus_(19[0-9]{2}|20[0-9]{2})(0[0-9]|1[0-2])([0-2][0-9]|3[01])([0-1][0-9]|2[0-3])([0-5][0-9]).csv
--/-- --:--:--.---|VARIABLE    |NAME=S3バケットIN, VALUE=bm-s3-datahub-if-prod
--/-- --:--:--.---|VARIABLE    |NAME=S3バケットOUT, VALUE=bm-s3-datahub-bs-prod
--/-- --:--:--.---|VARIABLE    |NAME=エラーディレクトリ, VALUE=/data/MERGE/app/data/WE0502/ERROR/20241016191500_f00000mvvv000980e4t5n55ep556_error
--/-- --:--:--.---|VARIABLE    |NAME=作業用ディレクトリ, VALUE=/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502
10/16 19:15:00.079|TRY_START   |NAME=try_S3F取得
10/16 19:15:00.079|START       |NAME=S3入力Fバックアップ [amazon_s3_adapter/copy]
--/-- --:--:--.---|INFO        |[2]件コピーしました。
--/-- --:--:--.---|INFO        |フォルダ: (成功[1]件、失敗[0]件、仮想フォルダ[0]件)
--/-- --:--:--.---|INFO        |ファイル: (成功[1]件、失敗[0]件)
10/16 19:15:01.821|END         |
10/16 19:15:01.821|START       |NAME=S3バックアップ結果 
--/-- --:--:--.---|VARIABLE    |NAME=処理結果フラグ, VALUE=0
--/-- --:--:--.---|INFO        |処理結果フラグ(int) 入力=[0]
10/16 19:15:01.822|END         |
10/16 19:15:01.822|BRANCH_START|NAME=バックアップ結果
--/-- --:--:--.---|EVALUATION  |NAME=バックアップ失敗, RESULT=false
10/16 19:15:01.822|BRANCH_END  |
10/16 19:15:01.822|START       |NAME=S3F一覧取得 [amazon_s3_adapter/list]
10/16 19:15:02.204|END         |
10/16 19:15:02.204|START       |NAME=対象ファイル抽出 
10/16 19:15:02.207|END         |
10/16 19:15:02.207|LOOP_START  |NAME=繰り返し_ファイルDL
10/16 19:15:02.208|START       |NAME=DLファイル設定 
--/-- --:--:--.---|VARIABLE    |NAME=リモートファイルパス, VALUE=/bm-s3-datahub-if-prod/WE0502/BF_orderstatus_202410161910.csv
--/-- --:--:--.---|INFO        |リモートファイルパス(String) 入力=[/bm-s3-datahub-if-prod/WE0502/BF_orderstatus_202410161910.csv]
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名のみ, VALUE=BF_orderstatus_202410161910.csv
--/-- --:--:--.---|INFO        |ファイル名のみ(String) 入力=[BF_orderstatus_202410161910.csv]
10/16 19:15:02.209|END         |
10/16 19:15:02.209|START       |NAME=S3F取得_GET [amazon_s3_adapter/get]
10/16 19:15:02.830|END         |
10/16 19:15:02.830|START       |NAME=DL結果取得 
--/-- --:--:--.---|VARIABLE    |NAME=処理結果フラグ, VALUE=0
--/-- --:--:--.---|INFO        |処理結果フラグ(int) 入力=[0]
--/-- --:--:--.---|VARIABLE    |NAME=ファイル数, VALUE=1
--/-- --:--:--.---|INFO        |ファイル数(int) 入力=[1]
--/-- --:--:--.---|VARIABLE    |NAME=ローカルファイルパス, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup/BF_orderstatus_202410161910.csv
--/-- --:--:--.---|INFO        |ローカルファイルパス(String) 入力=[/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup/BF_orderstatus_202410161910.csv]
10/16 19:15:02.835|END         |
10/16 19:15:02.835|BRANCH_START|NAME=Dl結果判定
--/-- --:--:--.---|EVALUATION  |NAME=DL失敗, RESULT=false
10/16 19:15:02.835|BRANCH_END  |
10/16 19:15:02.835|LOOP_END    |COUNT=1
10/16 19:15:02.835|BRANCH_START|NAME=DL数判定
--/-- --:--:--.---|EVALUATION  |NAME=DL0件, RESULT=false
10/16 19:15:02.835|BRANCH_END  |
10/16 19:15:02.835|TRY_END     |
10/16 19:15:02.835|TRY_START   |NAME=try_データ反映処理
10/16 19:15:02.835|START       |NAME=取得ファイル一覧取得 [file_operation_adapter/list_file]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup]ディレクトリのファイル名一覧を取得しました。
10/16 19:15:02.838|END         |
10/16 19:15:02.838|LOOP_START  |NAME=繰り返し_取得F
10/16 19:15:02.839|START       |NAME=引数作成 
--/-- --:--:--.---|VARIABLE    |NAME=リモートファイルパス, VALUE=/bm-s3-datahub-if-prod/WE0502/BF_orderstatus_202410161910.csv
--/-- --:--:--.---|INFO        |リモートファイルパス(String) 入力=[/bm-s3-datahub-if-prod/WE0502/BF_orderstatus_202410161910.csv]
--/-- --:--:--.---|VARIABLE    |NAME=ローカルファイルパス, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup/BF_orderstatus_202410161910.csv
--/-- --:--:--.---|INFO        |ローカルファイルパス(String) 入力=[/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup/BF_orderstatus_202410161910.csv]
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名のみ, VALUE=BF_orderstatus_202410161910.csv
--/-- --:--:--.---|INFO        |ファイル名のみ(String) 入力=[BF_orderstatus_202410161910.csv]
--/-- --:--:--.---|VARIABLE    |NAME=不正レコードファイルパス, VALUE=/data/MERGE/app/data/WE0502/ERROR/20241016191500_f00000mvvv000980e4t5n55ep556_error/BF_orderstatus_202410161910_20241016191500_error.csv
--/-- --:--:--.---|INFO        |不正レコードファイルパス(String) 入力=[/data/MERGE/app/data/WE0502/ERROR/20241016191500_f00000mvvv000980e4t5n55ep556_error/BF_orderstatus_202410161910_20241016191500_error.csv]
10/16 19:15:02.841|END         |
10/16 19:15:02.841|START       |NAME=S3入力ファイル削除 [amazon_s3_adapter/delete]
10/16 19:15:03.245|END         |
10/16 19:15:03.245|START       |NAME=データ反映処理 
10/16 19:15:03.248|SCRIPT_START|SCRIPT=sub/002_オーダー情報反映処理, PROJECT=【データ連携HUB】WE0502_オーダー情報取込(Biz-FLOW), REPOSITORY=/share/projects/【データ連携HUB】WE0502_オーダー情報取込(Biz-FLOW), VERSION=71
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名のみ, VALUE=BF_orderstatus_202410161910.csv
--/-- --:--:--.---|VARIABLE    |NAME=実行日時, VALUE=1729073700055
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0502
--/-- --:--:--.---|VARIABLE    |NAME=機能名, VALUE=オーダー情報取込(Biz-FLOW)
--/-- --:--:--.---|VARIABLE    |NAME=取込ファイル取得元, VALUE=/bm-s3-datahub-if-prod/WE0502/BF_orderstatus_202410161910.csv
--/-- --:--:--.---|VARIABLE    |NAME=作業用ディレクトリ, VALUE=/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502
--/-- --:--:--.---|VARIABLE    |NAME=不正レコードファイルパス, VALUE=/data/MERGE/app/data/WE0502/ERROR/20241016191500_f00000mvvv000980e4t5n55ep556_error/BF_orderstatus_202410161910_20241016191500_error.csv
--/-- --:--:--.---|VARIABLE    |NAME=エラーディレクトリ, VALUE=/data/MERGE/app/data/WE0502/ERROR/20241016191500_f00000mvvv000980e4t5n55ep556_error
--/-- --:--:--.---|VARIABLE    |NAME=取込ファイルパス, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup/BF_orderstatus_202410161910.csv
10/16 19:15:03.248|START       |NAME=取込F名のみ取得 
--/-- --:--:--.---|VARIABLE    |NAME=取込ファイルパス, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup/BF_orderstatus_202410161910.csv
--/-- --:--:--.---|INFO        |取込ファイルパス(String) 入力=[/data/MERGE/app/data/WE0502/BACKUP/20241016191500_f00000mvvv000980e4t5n55ep556_backup/BF_orderstatus_202410161910.csv]
--/-- --:--:--.---|VARIABLE    |NAME=中間1ファイルパス, VALUE=/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502/BF_orderstatus_202410161910_inter1.csv
--/-- --:--:--.---|INFO        |中間1ファイルパス(String) 入力=[/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502/BF_orderstatus_202410161910_inter1.csv]
--/-- --:--:--.---|VARIABLE    |NAME=中間2ファイルパス, VALUE=/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502/BF_orderstatus_202410161910_inter2.csv
--/-- --:--:--.---|INFO        |中間2ファイルパス(String) 入力=[/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502/BF_orderstatus_202410161910_inter2.csv]
--/-- --:--:--.---|VARIABLE    |NAME=エラーキーファイルパス, VALUE=/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502/BF_orderstatus_202410161910_errkeys.csv
--/-- --:--:--.---|INFO        |エラーキーファイルパス(String) 入力=[/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502/BF_orderstatus_202410161910_errkeys.csv]
--/-- --:--:--.---|VARIABLE    |NAME=追加ファイルパス, VALUE=/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502/BF_orderstatus_202410161910_insert.csv
--/-- --:--:--.---|INFO        |追加ファイルパス(String) 入力=[/data/MERGE/app/temp/20241016191500_f00000mvvv000980e4t5n55ep556_WE0502/BF_orderstatus_202410161910_insert.csv]
10/16 19:15:03.248|END         |
10/16 19:15:03.248|TRY_START   |NAME=try_準備
10/16 19:15:03.248|START       |NAME=SFDCセッションF作成 
10/16 19:15:03.249|SCRIPT_START|SCRIPT=セッションファイル生成, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=8
10/16 19:15:03.249|START       |NAME=セッションファイル存在確認 [file_operation_adapter/check_exist_file]
10/16 19:15:03.250|END         |
10/16 19:15:03.250|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=ファイル無し, RESULT=false
10/16 19:15:03.250|START       |NAME=セッションファイル読取1 [csv_adapter/get_data]
--/-- --:--:--.---|INFO        |[1]行のデータを抽出しました。
10/16 19:15:03.252|END         |
10/16 19:15:03.252|START       |NAME=変数代入1 
--/-- --:--:--.---|VARIABLE    |NAME=サーバURL, VALUE=https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0
--/-- --:--:--.---|INFO        |サーバURL(String) 入力=[https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0]
--/-- --:--:--.---|VARIABLE    |NAME=セッションID, VALUE=00D2v000002FbUv!ARcAQIlURfz1g9VPRMtamlym.ALWslD4iuvIvl.qD095JlcmStcRn7pVzRy9uCjLgELwRZJDo8XNz.5JeusgQGzkO1QiR22u
--/-- --:--:--.---|INFO        |セッションID(String) 入力=[00D2v000002FbUv!ARcAQIlURfz1g9VPRMtamlym.ALWslD4iuvIvl.qD095JlcmStcRn7pVzRy9uCjLgELwRZJDo8XNz.5JeusgQGzkO1QiR22u]
10/16 19:15:03.252|END         |
10/16 19:15:03.252|BRANCH_END  |
10/16 19:15:03.252|TRY_START   |NAME=try_catch
10/16 19:15:03.252|START       |NAME=セッションログイン [salesforce_adapter/session_id_login]
--/-- --:--:--.---|INFO        |サーバ[https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0]へセッションIDによる接続を開始します。
10/16 19:15:03.506|END         |
10/16 19:15:03.506|TRY_END     |
10/16 19:15:03.506|SCRIPT_END  |EXIT_STATUS=0
10/16 19:15:03.506|END         |
10/16 19:15:03.506|TRY_END     |
10/16 19:15:03.506|TRY_START   |NAME=try_F読込
10/16 19:15:03.506|START       |NAME=オーダー進捗F読込_1 [variablelength_adapter/get_data]
--/-- --:--:--.---|INFO        |[36]行のデータを抽出しました。
10/16 19:15:03.513|END         |
10/16 19:15:03.513|LOOP_START  |NAME=繰り返し_F読込_1
10/16 19:15:03.513|START       |NAME=必須chk・値取得 
--/-- --:--:--.---|VARIABLE    |NAME=処理結果フラグ, VALUE=0
--/-- --:--:--.---|INFO        |処理結果フラグ(int) 入力=[0]
--/-- --:--:--.---|VARIABLE    |NAME=メッセージ作業用, VALUE=
--/-- --:--:--.---|INFO        |メッセージ作業用(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=読込行番号, VALUE=1
--/-- --:--:--.---|INFO        |読込行番号(int) 入力=[1]
--/-- --:--:--.---|VARIABLE    |NAME=商談コード, VALUE=P230482234
--/-- --:--:--.---|INFO        |商談コード(String) 入力=[P230482234]
--/-- --:--:--.---|VARIABLE    |NAME=オーダID, VALUE=BF24081302276-03
--/-- --:--:--.---|INFO        |オーダID(String) 入力=[BF24081302276-03]
10/16 19:15:03.514|END         |
10/16 19:15:03.514|BRANCH_START|NAME=必須チェック結果
--/-- --:--:--.---|EVALUATION  |NAME=必須未入力, RESULT=false
10/16 19:15:03.514|START       |NAME=削除条件作成 
--/-- --:--:--.---|VARIABLE    |NAME=検索条件作業用, VALUE=Name LIKE 'BF24081302276%'
--/-- --:--:--.---|INFO        |検索条件作業用(String) 入力=[Name LIKE 'BF24081302276%']
10/16 19:15:03.514|END         |
10/16 19:15:03.514|START       |NAME=オーダ進捗_ID抽出 [salesforce_adapter/get_data]
--/-- --:--:--.---|INFO        |[1]件のデータ読み取り(クエリー)に成功しました。
10/16 19:15:03.583|END         |
10/16 19:15:03.583|BRANCH_START|NAME=ID抽出結果判定
--/-- --:--:--.---|EVALUATION  |NAME=IDあり, RESULT=true
10/16 19:15:03.583|LOOP_START  |NAME=繰り返し_削除ID
10/16 19:15:03.583|START       |NAME=削除ID取得 
--/-- --:--:--.---|VARIABLE    |NAME=商談コード, VALUE=P230482234
--/-- --:--:--.---|INFO        |商談コード(String) 入力=[P230482234]
--/-- --:--:--.---|VARIABLE    |NAME=オーダID, VALUE=BF24081302276-03
--/-- --:--:--.---|INFO        |オーダID(String) 入力=[BF24081302276-03]
--/-- --:--:--.---|VARIABLE    |NAME=カスタムオブジェクトID, VALUE=a2JGC00000KMywC2AT
--/-- --:--:--.---|INFO        |カスタムオブジェクトID(String) 入力=[a2JGC00000KMywC2AT]
10/16 19:15:03.583|END         |
10/16 19:15:03.583|START       |NAME=ID抽出結果 
10/16 19:15:03.583|END         |
10/16 19:15:03.583|START       |NAME=中間1出力_2 [csv_adapter/put_data]
--/-- --:--:--.---|INFO        |[1]行のデータを挿入しました。
10/16 19:15:03.587|END         |
